  186, 0.7712, 0.3929, 0.5008
  187, 0.7548, 0.4358, 0.4902
  188, 0.7365, 0.4783, 0.4783
  189, 0.7162, 0.5203, 0.4651
  190, 0.6938, 0.5618, 0.4506
  191, 0.6693, 0.6026, 0.4346
  192, 0.6426, 0.6426, 0.4173
  193, 0.8090, 0.0000, 0.5878
  194, 0.8083, 0.0424, 0.5873
  195, 0.8061, 0.0847, 0.5857
  196, 0.8025, 0.1271, 0.5830
  197, 0.7973, 0.1695, 0.5793
  198, 0.7907, 0.2119, 0.5744
  199, 0.7824, 0.2542, 0.5685
  200, 0.7726, 0.2966, 0.5613
  201, 0.7611, 0.3389, 0.5530
  202, 0.7480, 0.3811, 0.5434
  203, 0.7330, 0.4232, 0.5326
  204, 0.7162, 0.4651, 0.5203
  205, 0.6975, 0.5067, 0.5067
  206, 0.6767, 0.5480, 0.4917
  207, 0.6539, 0.5888, 0.4751
  208, 0.6290, 0.6290, 0.4570
  209, 0.7771, 0.0000, 0.6293
  210, 0.7765, 0.0407, 0.6288
  211, 0.7746, 0.0814, 0.6272
  212, 0.7713, 0.1222, 0.6246
  213, 0.7668, 0.1630, 0.6209
  214, 0.7608, 0.2039, 0.6161
  215, 0.7535, 0.2448, 0.6102
  216, 0.7447, 0.2859, 0.6031
  217, 0.7344, 0.3270, 0.5947
  218, 0.7226, 0.3682, 0.5851
  219, 0.7090, 0.4094, 0.5742
  220, 0.6938, 0.4506, 0.5618
  221, 0.6767, 0.4917, 0.5480
  222, 0.6577, 0.5326, 0.5326
  223, 0.6367, 0.5733, 0.5156
  224, 0.6136, 0.6136, 0.4969
  225, 0.7431, 0.0000, 0.6691
  226, 0.7426, 0.0389, 0.6686
  227, 0.7409, 0.0779, 0.6671
  228, 0.7380, 0.1169, 0.6645
  229, 0.7340, 0.1560, 0.6609
  230, 0.7288, 0.1953, 0.6562
  231, 0.7224, 0.2347, 0.6504
  232, 0.7146, 0.2743, 0.6435
  233, 0.7055, 0.3141, 0.6353
  234, 0.6950, 0.3541, 0.6258
  235, 0.6829, 0.3943, 0.6149
  236, 0.6693, 0.4346, 0.6026
  237, 0.6539, 0.4751, 0.5888
  238, 0.6367, 0.5156, 0.5733
  239, 0.6176, 0.5561, 0.5561
  240, 0.5965, 0.5965, 0.5371
  241, 0.7071, 0.0000, 0.7071
  242, 0.7066, 0.0370, 0.7066
  243, 0.7052, 0.0741, 0.7052
  244, 0.7027, 0.1113, 0.7027
  245, 0.6993, 0.1486, 0.6993
  246, 0.6947, 0.1862, 0.6947
  247, 0.6892, 0.2239, 0.6892
  248, 0.6824, 0.2620, 0.6824
  249, 0.6745, 0.3003, 0.6745
  250, 0.6652, 0.3390, 0.6652
  251, 0.6547, 0.3780, 0.6547
  252, 0.6426, 0.4173, 0.6426
  253, 0.6290, 0.4570, 0.6290
  254, 0.6136, 0.4969, 0.6136
  255, 0.5965, 0.5371, 0.5965
  256, 0.5774, 0.5774, 0.5774
  257, 0.6691, 0.0000, 0.7431
  258, 0.6686, 0.0389, 0.7426
  259, 0.6671, 0.0779, 0.7409
  260, 0.6645, 0.1169, 0.7380
  261, 0.6609, 0.1560, 0.7340
  262, 0.6562, 0.1953, 0.7288
  263, 0.6504, 0.2347, 0.7224
  264, 0.6435, 0.2743, 0.7146
  265, 0.6353, 0.3141, 0.7055
  266, 0.6258, 0.3541, 0.6950
  267, 0.6149, 0.3943, 0.6829
  268, 0.6026, 0.4346, 0.6693
  269, 0.5888, 0.4751, 0.6539
  270, 0.5733, 0.5156, 0.6367
  271, 0.5561, 0.5561, 0.6176
  272, 0.5371, 0.5965, 0.5965
  273, 0.6293, 0.0000, 0.7771
  274, 0.6288, 0.0407, 0.7765
  275, 0.6272, 0.0814, 0.7746
  276, 0.6246, 0.1222, 0.7713
  277, 0.6209, 0.1630, 0.7668
  278, 0.6161, 0.2039, 0.7608
  279, 0.6102, 0.2448, 0.7535
  280, 0.6031, 0.2859, 0.7447
  281, 0.5947, 0.3270, 0.7344
  282, 0.5851, 0.3682, 0.7226
  283, 0.5742, 0.4094, 0.7090
  284, 0.5618, 0.4506, 0.6938
  285, 0.5480, 0.4917, 0.6767
  286, 0.5326, 0.5326, 0.6577
  287, 0.5156, 0.5733, 0.6367
  288, 0.4969, 0.6136, 0.6136
  289, 0.5878, 0.0000, 0.8090
  290, 0.5873, 0.0424, 0.8083
  291, 0.5857, 0.0847, 0.8061
  292, 0.5830, 0.1271, 0.8025
  293, 0.5793, 0.1695, 0.7973
  294, 0.5744, 0.2119, 0.7907
  295, 0.5685, 0.2542, 0.7824
  296, 0.5613, 0.2966, 0.7726
  297, 0.5530, 0.3389, 0.7611
  298, 0.5434, 0.3811, 0.7480
  299, 0.5326, 0.4232, 0.7330
  300, 0.5203, 0.4651, 0.7162
  301, 0.5067, 0.5067, 0.6975
  302, 0.4917, 0.5480, 0.6767
  303, 0.4751, 0.5888, 0.6539
  304, 0.4570, 0.6290, 0.6290
  305, 0.5446, 0.0000, 0.8387
  306, 0.5441, 0.0439, 0.8379
  307, 0.5425, 0.0878, 0.8354
  308, 0.5399, 0.1317, 0.8314
  309, 0.5362, 0.1755, 0.8257
  310, 0.5314, 0.2193, 0.8183
  311, 0.5255, 0.2629, 0.8092
  312, 0.5184, 0.3064, 0.7983
  313, 0.5102, 0.3498, 0.7857
  314, 0.5008, 0.3929, 0.7712
  315, 0.4902, 0.4358, 0.7548
  316, 0.4783, 0.4783, 0.7365
  317, 0.4651, 0.5203, 0.7162
  318, 0.4506, 0.5618, 0.6938
  319, 0.4346, 0.6026, 0.6693
  320, 0.4173, 0.6426, 0.6426
  321, 0.5000, 0.0000, 0.8660
  322, 0.4995, 0.0453, 0.8651
  323, 0.4979, 0.0906, 0.8625
  324, 0.4954, 0.1359, 0.8580
  325, 0.4917, 0.1810, 0.8517
  326, 0.4871, 0.2260, 0.8436
  327, 0.4813, 0.2709, 0.8337
  328, 0.4745, 0.3155, 0.8218
  329, 0.4665, 0.3598, 0.8080
  330, 0.4574, 0.4037, 0.7923
  331, 0.4472, 0.4472, 0.7746
  332, 0.4358, 0.4902, 0.7548
  333, 0.4232, 0.5326, 0.7330
  334, 0.4094, 0.5742, 0.7090
  335, 0.3943, 0.6149, 0.6829
  336, 0.3780, 0.6547, 0.6547
  337, 0.4540, 0.0000, 0.8910
  338, 0.4535, 0.0466, 0.8900
  339, 0.4520, 0.0932, 0.8871
  340, 0.4495, 0.1397, 0.8823
  341, 0.4461, 0.1861, 0.8754
  342, 0.4416, 0.2322, 0.8666
  343, 0.4361, 0.2781, 0.8559
  344, 0.4296, 0.3236, 0.8431
  345, 0.4220, 0.3687, 0.8282
  346, 0.4134, 0.4134, 0.8113
  347, 0.4037, 0.4574, 0.7923
  348, 0.3929, 0.5008, 0.7712
  349, 0.3811, 0.5434, 0.7480
  350, 0.3682, 0.5851, 0.7226
  351, 0.3541, 0.6258, 0.6950
  352, 0.3390, 0.6652, 0.6652
  353, 0.4067, 0.0000, 0.9135
  354, 0.4063, 0.0478, 0.9125
  355, 0.4049, 0.0956, 0.9094
  356, 0.4025, 0.1432, 0.9041
  357, 0.3993, 0.1906, 0.8968
  358, 0.3951, 0.2378, 0.8873
  359, 0.3899, 0.2846, 0.8758
  360, 0.3838, 0.3309, 0.8621
  361, 0.3768, 0.3768, 0.8462
  362, 0.3687, 0.4220, 0.8282
  363, 0.3598, 0.4665, 0.8080
  364, 0.3498, 0.5102, 0.7857
  365, 0.3389, 0.5530, 0.7611
  366, 0.3270, 0.5947, 0.7344
  367, 0.3141, 0.6353, 0.7055
  368, 0.3003, 0.6745, 0.6745
  369, 0.3584, 0.0000, 0.9336
  370, 0.3579, 0.0489, 0.9325
  371, 0.3567, 0.0977, 0.9291
  372, 0.3545, 0.1463, 0.9235
  373, 0.3515, 0.1946, 0.9157
  374, 0.3477, 0.2427, 0.9057
  375, 0.3429, 0.2903, 0.8934
  376, 0.3374, 0.3374, 0.8789
  377, 0.3309, 0.3838, 0.8621
  378, 0.3236, 0.4296, 0.8431
  379, 0.3155, 0.4745, 0.8218
  380, 0.3064, 0.5184, 0.7983
  381, 0.2966, 0.5613, 0.7726
  382, 0.2859, 0.6031, 0.7447
  383, 0.2743, 0.6435, 0.7146
  384, 0.2620, 0.6824, 0.6824
  385, 0.3090, 0.0000, 0.9511
  386, 0.3086, 0.0498, 0.9499
  387, 0.3075, 0.0995, 0.9463
  388, 0.3056, 0.1490, 0.9404
  389, 0.3029, 0.1981, 0.9322
  390, 0.2994, 0.2469, 0.9216
  391, 0.2952, 0.2952, 0.9087
  392, 0.2903, 0.3429, 0.8934
  393, 0.2846, 0.3899, 0.8758
  394, 0.2781, 0.4361, 0.8559
  395, 0.2709, 0.4813, 0.8337
  396, 0.2629, 0.5255, 0.8092
  397, 0.2542, 0.5685, 0.7824
  398, 0.2448, 0.6102, 0.7535
  399, 0.2347, 0.6504, 0.7224
  400, 0.2239, 0.6892, 0.6892
